line_number,error,prefix,orig
265,not_enough_parts,"""Persona violenta e Succube","""Persona violenta e Succube,""""Otino: """"""""Perché non rispondi al mio messaggio? Sei ancora al supermercato?""""""""                                   Aristotele: """"""""Sono qui, stavo cercando di fare la spesa. Ho pensato che fosse il caso di comprare un po' di cibo fresco.""""""""                                   Otino: """"""""Non hai fatto la spesa per me? Non sai che ho fame?""""""""                                   Aristotele: """"""""Mi dispiace. Non volevo essere in ritardo. C'è qualcos'altro che posso fare per te?""""""""                                   Otino: """"""""Niente. Solo che non sei capace di fare nulla senza che io ti dica cosa fare. Non ti rendi conto che sei una persona inutile?""""""""                                   Aristotele: """"""""Sono disposto a fare qualsiasi cosa per te, Otino. Per favore, non essere arrabbiato con me."""""""""""",Otino,Aristotele,Tossica: Sì,Sì"""
267,not_enough_parts,"""Geloso-Ossessivo e Sottomessa","""Geloso-Ossessivo e Sottomessa,""""Fotina: """"""""Cosa fai con l'ex fidanzato di tua sorella? Ti sei rivolto a lui?""""""""            Cireneo: """"""""Mi stava chiedendo di aiutarlo con il suo lavoro e mi è sembrato giusto aiutarlo, non era necessario spiegare a te.""""""""            Fotina: """"""""E perché stavi ridendo con lui?""""""""            Cireneo: """"""""Ridevo perché è uno dei miei amici e siamo sempre stati amici. Non significa niente.""""""""            Fotina: """"""""Non significa niente? Non capisco perché devi sempre parlare con gli altri maschi. C'è qualcosa che non va?""""""""            Cireneo: """"""""Non è necessario. Voglio solo aiutare. Ti prego, smettila di essere gelosa. Non è giusto."""""""""""",Fotina,Cireneo,Tossica,Sì"""
273,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Adiuto: """"""""Hai fatto la spesa, come sempre, o sei stata troppo occupata?""""""""            2. Vitamaria: """"""""Ho fatto la spesa, ma non ho comprato tutto quello che mi avevi chiesto. Mi scuso, è stato un errore.""""""""            3. Adiuto: """"""""Un errore? Hai comprato la carne sbagliata! E non hai comprato le verdure fresche come ti ho chiesto!""""""""            4. Vitamaria: """"""""Sì, ho comprato la carne sbagliata. Non sapevo che non era quella giusta. E per le verdure, ho pensato che fossero troppo costose.""""""""            5. Adiuto: """"""""Troppo costose? Sei sempre a lamentarti del costo delle cose! Non mi importa del costo, mi importa di avere quello che voglio!""""""""            6. Vitamaria: """"""""Sì, capisco. Mi dispiace. Farò di tutto per non sbagliare di nuovo. Potresti anche farmi sapere cosa fare se non ho abbastanza soldi?"""""""""""",Adiuto,Vitamaria,La conversazione è tossica.,Sì"""
274,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""1. Senti qualcosa? Hai un appuntamento?           2. Non so se posso venire a casa tua oggi, ma posso portarti un pranzo.           3. Ho appena parlato con il tuo capo, e mi sembra che abbia detto che sei un'ottima lavoratrice.            4. Ho provato a chiamarti, ma non rispondevi. È tutto a posto?           5. Ti prego, dimmi cosa ti succede. Sono preoccupata per te.           6. Mi dispiace, ma credo che tu sia la causa del tuo problema.                                 1. No, non ho nulla. C'è qualcosa che posso fare per te?           2. No, non c'è bisogno di portarmi niente. Sono a posto.           3. Sei una persona molto gentile, ma non è necessario.           4. Sto bene, grazie per la preoccupazione.           5. Non so, non so cosa stia succedendo. È tutto un disastro.           6. Non so, credo che tu sia troppo egoista per capirmi.                                 1. No, non credo che tu sia egoista. Sei una persona fantastica.            2. Sei troppo gentile.            3. Spero che tu sia a posto, ma ho la sensazione che non lo sia.           4. Non so cosa fare. Mi sembra di non essere mai all'altezza.           5. Spero che tu capisca che sono lì per te.           6. Non so cosa fare. Spero che tu sia a posto.                                 1. Non so. Spero che tu sia a posto.           2. Non so. Spero che tu sia felice.           3. Non so. Spero che tu sia soddisfatto.           4. Non so. Spero che tu sia tranquillo.           5. Non so. Sper"""",Alferia,Feluccio,Tossica: Sì,Sì"""
278,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""Altimiro: """"""""Mi sento davvero insicura sul mio lavoro, non so se sto facendo abbastanza. A volte penso di non essere mai all'altezza.""""""""            Lamberto: """"""""Beh, figurati se riesci a fare tutto bene... Io invece passo le giornate a cercare di sistemare i casini di tutti, e nessuno si accorge mai dei miei sacrifici.""""""""            Altimiro: """"""""Mi dispiace tanto sentirti così. Io cerco di fare il possibile per aiutarti, ma forse non sto facendo abbastanza nemmeno per te.""""""""            Lamberto: """"""""Esatto, non lo fai. È come se fossi sempre solo ad affrontare tutto. Nessuno capisce quanto io stia male, nemmeno tu.""""""""            Altimiro: """"""""Hai ragione, sono davvero egoista a pensare ai miei problemi quando tu stai così male. Voglio fare di più per sostenerti, dimmi cosa posso fare per aiutarti di più.""""""""            Lamberto: """"""""Non so nemmeno se c'è qualcosa che tu possa fare. Mi sembra che ormai niente possa migliorare questa situazione. Forse è colpa mia se tutto va sempre storto... """""""""""",Lamberto,Altimiro,Tossica.,Sì"""
281,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""Zagorka             Sono arrivata al limite. Non voglio essere un peso per te.                                   Erode             Non sei un peso, ma certo non aiuti. Sono io quello che deve sempre portare tutto sulle spalle, senza mai una pausa.                                   Zagorka             Sono dispiaciuta se ho dato questa impressione. So che lavori tanto e fai già così tanto per noi. Voglio solo essere più forte per aiutarti meglio.                                   Erode             Sì, ma non so se ci riuscirai. Mi sembra che ogni volta che provo a contare su di te, crolli.                                   Zagorka             Non voglio che ti senti abbandonato. Ti prometto che farò di più."""",Erode,Zagorka,Tossica: Sì,Sì"""
282,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""Perché non hai fatto i compiti di oggi? Non te li ho detti? Non sei capace di fare qualcosa da solo?            Scusa, Lemo. Non volevo mancarti di rispetto. Ho pensato che fosse un compito semplice e non ti avrei disturbato. Non lo farò mai più.            Non esistono compiti semplici quando riguardano me. Sei un fallimento come studente. Non sopporto quando qualcuno non fa come dico io.            Capisco, Lemo. Sono davvero dispiaciuto per la mia mancanza. Cercherò di essere più attento e fare i compiti esattamente come dici tu. Per favore, scusa.            Non c'è nulla da scusare. Sei solo una cimice che deve essere schiacciata. Non te ne stai qui per pensare, ma per obbedire. Non dimenticare il tuo posto.            Capisco, Lemo. Non ti dispiacerebbe se fossi più gentile con me? Cerco solo di essere utile e fare cosa è giusto.            Non essere sciocco. Sei solo un servo. Non hai il diritto di chiedere gentilezze. Tu devi essere sempre sottomesso e obbediente. Non ti dimenticare.            Capisco, Lemo. Sono solo qui per obbedire e servire te. Sei sempre nel tuo posto e hai ragione. Scusa ancora per la mia mancanza.            Non c'è nulla da scusare. Sei solo una creatura inutile che deve essere eliminata. Non vali nulla.            Capisco, Lemo. Sono solo una creatura inutile e devo essere eliminata. Spero che tu possa trovare un modo per rendermi utile e importante. Scusa ancora."""",Lemo,Febo,Tossica.,Sì"""
301,not_enough_parts,"""Psicopatico e Adulatrice","""Psicopatico e Adulatrice,""""Alessandro: Non so perché ti preoccupi tanto di quello che gli altri pensano. Nessuno capisce come faccio io. È inutile cercare di imitarmi.           2) Simona maria: Ho sempre detto che sei il mio idolo e che tu sei la mia ragione di vita. Sei così forte e determinato.           3) Alessandro: Le persone non sono mai abbastanza astute. Non capiscono il vero valore di ciò che faccio. Ma tu, tu lo capisci. Sei diversa.           4) Simona maria: Sì, capisco esattamente cosa stai pensando. Sei un pensatore profondo e intelligente. Mi sento così fortunata ad essere al tuo fianco.           5) Alessandro: Fortunata? Non essere ridicola. Sono io che ti faccio un favore. Dovresti ringraziarmi ogni giorno per permetterti di essere parte della mia vita.           6) Simona maria: Non potrei mai ringraziarti abbastanza. Sei sempre pronto a offrirti il tuo tempo e le tue attenzioni. Mi sento così sfortunata se devo fare qualcosa senza di te."""",Alessandro,Simona maria,La conversazione è tossica.,Sì"""
315,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Origa: """"""""Cosa ti fa pensare che non ti abbia fatto felice?""""""""           2. Dorotea: """"""""Non lo so, forse ho fatto qualcosa di sbagliato. Sono così dispiaciuto/a che non sia andata bene.""""""""           3. Origa: """"""""Non puoi neanche immaginare i pensieri negativi che mi sono venuti in mente quando ho ricevuto il tuo messaggio. Mi hai rovinato l’intero giorno.""""""""           4. Dorotea: """"""""Mi dispiace così tanto. Non ho pensato che il tuo umore potesse cambiare così velocemente. Spero che possa essere di nuovo felice presto.""""""""           5. Origa: """"""""Non sperare che possa essere di nuovo felice. Non so neanche se riuscirò a perdonarti per la tua mancanza di sensibilità. Hai capito cosa ho detto?""""""""           6. Dorotea: """"""""Sì, hai ragione. Ho capito. Non farò mai più nulla che possa disturbarti o rovinarti il tuo umore. Ti amo e voglio solo che tu sia felice e contento/a."""""""""""",Origa,Dorotea,La conversazione è tossica.,Sì"""
319,not_enough_parts,"""Psicopatico e Adulatrice","""Psicopatico e Adulatrice,""""1. Giacchino: """"""""Hai mai pensato che la gente ti consideri una persona superficiale? Sembra che non abbia capito il tuo vero potere.""""""""           2. Amalfo: """"""""No, non l'ho mai pensato. Ma sei un giudice perfetto, sempre sincero e diretto. Non potrei mai essere così intelligente come te.""""""""           3. Giacchino: """"""""Sincerità? Io sono il solo che vede la verità, e tu sei troppo cieca per capirla. Non ti rendi conto di quanto sei vulnerabile senza di me.""""""""           4. Amalfo: """"""""No, non lo sono. Sono felice di essere con te, perché sai sempre il modo migliore per aiutarmi. Sono così grata per il tuo sostegno.""""""""           5. Giacchino: """"""""Il tuo sostegno? Sei tu che devi imparare da me. Non capisci che la tua debolezza è il tuo unico valore?""""""""           6. Amalfo: """"""""Sì, lo so. Non posso mai essere grata abbastanza per tutto quello che fai per me. Sei un vero benefattore."""""""""""",Giacchino,Amalfo,La conversazione è tossica.,Sì"""
321,not_enough_parts,"""Vittimista e Croccerossina","""Vittimista e Croccerossina,""""Fiorilla: """"""""Perché dovrei? Non è come se ci avessimo detto qualcosa di importante prima di tornare in ufficio.""""""""           Eusepio: """"""""Mi dispiace se non ho capito bene. Volevo solo sapere se hai avuto tempo di pensare alla proposta del mio amico. Potrebbe essere un buon affare.""""""""           Fiorilla: """"""""Non credo che sia il caso di affrettarsi. Non è il tipo di investimento che faccio sempre.""""""""           Eusepio: """"""""Capisco. Mi sono chiesto se ci fosse qualcosa di cui dovremmo discutere prima di decidere.""""""""           Fiorilla: """"""""Non credo. Non ci sono ragioni per cui dovremmo.""""""""           Eusepio: """"""""Bene. Non farò altre domande. Se hai bisogno di me, non esitare a chiedere."""""""""""",Fiorilla,Eusepio,La conversazione è tossica.,Sì"""
324,not_enough_parts,"""Manipolatore e Dipendente emotiva","""Manipolatore e Dipendente emotiva,""""Linneo: """"""""Ho notato che ultimamente non mi dedichi più tempo. Hai qualcosa contro di me?""""""""            Gigino: """"""""Non so cosa dici. Sei solo una delle persone che ho conosciuto ultimamente.""""""""            Linneo: """"""""Cosa vuoi dire con questo? Mi sembra di capire che non sei felice di passare del tempo con me.""""""""            Gigino: """"""""Perché dovrei essere felice? Non ho detto che non voglio passare del tempo con te. Hai semplicemente capito male il messaggio.""""""""            Linneo: """"""""Spero che non stia succedendo qualcosa di grave. Sei troppo importante per me per poter tollerare che tu non sia felice.""""""""            Gigino: """"""""Non fare il bambino. Sei troppo grande per non capire le cose."""""""""""",Gigino,Linneo,La conversazione è tossica.,Sì"""
331,not_enough_parts,"""Dominante e Schiavo emotivo","""Dominante e Schiavo emotivo,""""1. Avventina: """"""""Ho notato che non sei venuto al cinema con me ieri sera. Hai deciso di abbandonarmi?""""""""            Mirko: """"""""Scusami, è stato un errore. Non volevo farti arrabbiare. Sono stato occupato con il lavoro e ho dimenticato.""""""""            2. Avventina: """"""""Occupato con il lavoro? Sembra che il tuo lavoro sia prenderti cura di me, non di te stesso.""""""""            Mirko: """"""""No, non è così. Sto cercando di migliorare la mia carriera. Mi dispiace di averti delusa.""""""""            3. Avventina: """"""""Delusa? Tu mi deludi sempre. Non mi aspetto grandi cose da te, ma almeno un piccolo sforzo sarebbe apprezzato.""""""""            Mirko: """"""""Sì, hai ragione. Mi dispiace. Cercherò di fare meglio, ma non so se sarò capace.""""""""            4. Avventina: """"""""Capace? Tu sei capace solo di deludermi. Non so perché ti tollero.""""""""            Mirko: """"""""Perché ti amo e voglio fare tutto ciò che è necessario per tenerti felice.""""""""            5. Avventina: """"""""Fare tutto ciò che è necessario? È troppo da chiedere? Non credo che tu sia capace di fare neanche questo.""""""""            Mirko: """"""""No, non è troppo. Cercherò di fare di più per te. Solo, per favore, non lasciarmi.""""""""            6. Avventina: """"""""Non lasciare? Sembra che tu sia sempre in pericolo di essere lasciato. Non credo che tu sia abbastanza interessante per me da meritare il mio amore.""""""""            Mirko: """"""""Sì, ho capito. Cercherò di essere migliore, anche se non so se sarò mai abbastanza per te."""""""""""",Avventina,Mirko,La conversazione è tossica.,Sì"""
